bp_trait	outcome	outcome_label	outcome_type	cohort	cohort_display	site	ancestry_group	pgs_id	N	n_events	fs_beta_mmHg_per_SD	fs_se	fs_p	fs_F	rf_beta_per_SD	rf_se	rf_p	yi	sei	or_per_10mmHg	or_lo95	or_hi95	grams_per_10mmHg	grams_lo95	grams_hi95	wald_p	analysis_scale	status	model_convergence
SBP	LBW	Low birth weight (<2,500 g)	binary	AMANHI-Bangladesh	AMANHI-Sylhet, Bangladesh	Sylhet	South Asian	PGS004830	2123	631	1.568468583560134	0.18102196923366462	8.850208890145718e-18	75.07391742717803	-0.03861304015104553	0.048635327041145364	0.42723624411803085	-0.24618306388643796	0.31138062440755365	0.7817790963053306	0.4246503783764299	1.4392511735341074				0.42916705715954884	log odds ratio	ok	converged
SBP	LBW	Low birth weight (<2,500 g)	binary	AMANHI-Pakistan	AMANHI-Karachi, Pakistan	Karachi	South Asian	PGS004830	1677	376	1.968808926589669	0.22021151893319088	1.0027827062102677e-18	79.93317698030346	-0.006302892831161406	0.06183898029937093	0.9188167868051018	-0.03201373554354586	0.31411376594780116	0.9684932792062263	0.5232600469437245	1.792568030649791				0.9188220435605214	log odds ratio	ok	converged
SBP	LBW	Low birth weight (<2,500 g)	binary	GAPPS-Bangladesh	PreSSMat-Matlab, Bangladesh	Matlab	South Asian	PGS004830	2555	476	2.151115109809445	0.1603513783381891	1.0671055655524403e-39	179.96245412858536	0.07623294453335941	0.051441590130710424	0.13835835842978747	0.3543880296583127	0.24059388934486903	1.4253081410225203	0.8894286457654725	2.2840542707242046				0.14075862261248676	log odds ratio	ok	converged
SBP	LBW	Low birth weight (<2,500 g)	binary	AMANHI-Pemba	AMANHI-Pemba, Tanzania	Pemba	African	PGS004603	3269	148	1.213784861803623	0.16242459614042704	1.0021099417196487e-13	55.84442739764621	0.12599290634861804	0.08701236512183255	0.14762025945426788	1.0380167879289492	0.7302014597962017	2.8236116371801327	0.6749085537105984	11.813130288222439				0.15515736517039064	log odds ratio	ok	converged
SBP	LBW	Low birth weight (<2,500 g)	binary	GAPPS-Zambia	ZAPPS-Lusaka, Zambia	Lusaka	African	PGS004603	1342	135	1.0985665269958156	0.24443279179062735	7.583736982982785e-06	20.199182261245035	-0.00043000417007646143	0.09136238060142757	0.9962447079483295	-0.003914229675760905	0.8316513242810781	0.9960934209358775	0.19515701773751545	5.0841220814628505				0.9962447100074743	log odds ratio	ok	converged
SBP	PTB	Preterm birth	binary	AMANHI-Bangladesh	AMANHI-Sylhet, Bangladesh	Sylhet	South Asian	PGS004830	2474	307	1.5195084368082106	0.16957262175050214	6.21231438928602e-19	80.29615729598406	-0.059141129612796196	0.06528669167919343	0.36500568468074873	-0.38921224904170026	0.4318465431863395	0.677590436829401	0.29065116584246126	1.5796558006291137				0.3674424231875191	log odds ratio	ok	converged
SBP	PTB	Preterm birth	binary	AMANHI-Pakistan	AMANHI-Karachi, Pakistan	Karachi	South Asian	PGS004830	1920	282	1.9273779277666732	0.20755090612663446	4.1996228324097924e-20	86.23518408595267	-0.13069046397245734	0.06922876247417363	0.059052017255093917	-0.6780738851974578	0.3665330814681159	0.5075937352112614	0.24746683031724181	1.0411552921877334				0.06431839250405831	log odds ratio	ok	converged
SBP	PTB	Preterm birth	binary	GAPPS-Bangladesh	PreSSMat-Matlab, Bangladesh	Matlab	South Asian	PGS004830	3446	359	2.182031267043685	0.1407864291091281	2.0185413451240893e-52	240.21512639441625	0.13977638550680038	0.05689704206674728	0.01402374098876293	0.6405792053391414	0.26400789186609025	1.8975796493318395	1.131024362169341	3.1836701719243967				0.015250971467424632	log odds ratio	ok	converged
SBP	PTB	Preterm birth	binary	AMANHI-Pemba	AMANHI-Pemba, Tanzania	Pemba	African	PGS004603	3408	158	1.2016556100699194	0.15935430381472768	5.959770955930273e-14	56.863350037747935	0.10694827833395523	0.08852934807679695	0.2270262952737932	0.8900077313144017	0.7461222781088523	2.4351484781155954	0.564174355794444	10.510843056874545				0.23293034383584016	log odds ratio	ok	converged
SBP	PTB	Preterm birth	binary	GAPPS-Zambia	ZAPPS-Lusaka, Zambia	Lusaka	African	PGS004603	1349	105	1.1056995543470092	0.24382644780084187	6.28194142803338e-06	20.564239148039988	0.08959232633114846	0.10319846209349615	0.38530913796549043	0.810277312484392	0.9502815949556114	2.2485314460674823	0.34914268051759084	14.480881158554295				0.3938419204293236	log odds ratio	ok	converged
SBP	SGA	Small for gestational age (<10th centile)	binary	AMANHI-Bangladesh	AMANHI-Sylhet, Bangladesh	Sylhet	South Asian	PGS004830	2121	935	1.564304025888404	0.1812186704971981	1.1647370704534059e-17	74.51375443301932	-0.027141782916067142	0.04453075765288736	0.5421888151039518	-0.17350708344979618	0.2853769207293268	0.8407111960052397	0.4805394999211263	1.4708370804160136				0.5431923180952927	log odds ratio	ok	converged
SBP	SGA	Small for gestational age (<10th centile)	binary	AMANHI-Pakistan	AMANHI-Karachi, Pakistan	Karachi	South Asian	PGS004830	1677	572	1.968808926589669	0.22021151893319088	1.0027827062102677e-18	79.93317698030346	-0.059785455487266326	0.05405347377937927	0.2687079946837239	-0.3036630659269992	0.27664203928736275	0.7381095188050052	0.429178886152119	1.2694139421328716				0.27234640569731733	log odds ratio	ok	converged
SBP	SGA	Small for gestational age (<10th centile)	binary	GAPPS-Bangladesh	PreSSMat-Matlab, Bangladesh	Matlab	South Asian	PGS004830	2555	843	2.151115109809445	0.1603513783381891	1.0671055655524403e-39	179.96245412858536	0.044152470270642015	0.042424385077013835	0.2979993439023179	0.2052538707449888	0.19781303896421404	1.2278367372264731	0.8332182339236931	1.8093495700203523				0.2994491095963407	log odds ratio	ok	converged
SBP	SGA	Small for gestational age (<10th centile)	binary	AMANHI-Pemba	AMANHI-Pemba, Tanzania	Pemba	African	PGS004603	3231	329	1.2018472691187831	0.16348612111976135	2.475171165388041e-13	54.04266811773702	-0.022762503575800334	0.06000966092080767	0.7044547163258461	-0.18939597535126262	0.4999760947239682	0.8274587885304144	0.31056901834339884	2.204624435394118				0.7048289150199722	log odds ratio	ok	converged
SBP	SGA	Small for gestational age (<10th centile)	binary	GAPPS-Zambia	ZAPPS-Lusaka, Zambia	Lusaka	African	PGS004603	1339	240	1.0954383252848927	0.24417044424600043	7.869913696821669e-06	20.12749260124608	-0.08111162787103757	0.07198029424514532	0.25980218584360654	-0.7404490604246726	0.6775016707053139	0.47689971064257974	0.12639386497884497	1.7994016881202477				0.27443285738463397	log odds ratio	ok	converged
