outcome	bp_trait	slot	kind	row_key	row_label	k_cohorts	estimate	ci_lo	ci_hi	axis_lo	axis_hi	axis_scale	reference	truncated_lo	truncated_hi	drawn_lo	drawn_hi	value_text	heterogeneity_text	I2	Q_p
PTB	SBP	7	pool_sub	African	African pooled	2	2.3622178598998964	0.7478149459873366	7.461836979284633	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.7478149459873366	7.461836979284633	2.36 (0.75 to 7.46)	""	0	0.9473846836373104
PTB	SBP	8	pool_all	Overall	Overall pooled	5	1.163528892477337	0.8137964447298085	1.6635603318210843	0.2	1e+01	logarithmic	1	FALSE	FALSE	0.8137964447298085	1.6635603318210843	1.16 (0.81 to 1.66)	I² = 65%; Q p = 0.021	65.46472692509336	0.020742807579158758
SGA	DBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	1.0756051078057531	0.5113059488291588	2.2626890036915777	0.2	5	logarithmic	1	FALSE	FALSE	0.5113059488291588	2.2626890036915777	1.08 (0.51 to 2.26)	""		
SGA	DBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	0.7316200144405043	0.3587965857122371	1.4918420822410516	0.2	5	logarithmic	1	FALSE	FALSE	0.3587965857122371	1.4918420822410516	0.73 (0.36 to 1.49)	""		
SGA	DBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	1.3136279651754894	0.7485690931804109	2.305222652941149	0.2	5	logarithmic	1	FALSE	FALSE	0.7485690931804109	2.305222652941149	1.31 (0.75 to 2.31)	""		
SGA	DBP	4	pool_sub	South Asian	South Asian pooled	3	1.056093079693328	0.7225144104750902	1.5436821422603182	0.2	5	logarithmic	1	FALSE	FALSE	0.7225144104750902	1.5436821422603182	1.06 (0.72 to 1.54)	""	0	0.4492554240675967
SGA	DBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	0.803011470237413	0.09537392438183698	6.761045280586698	0.2	5	logarithmic	1	TRUE	TRUE	0.2	5	0.80 (0.10 to 6.76)	""		
SGA	DBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	0.7040151412360074	0.19217316264767437	2.579118292382193	0.2	5	logarithmic	1	TRUE	FALSE	0.2	2.579118292382193	0.70 (0.19 to 2.58)	""		
SGA	DBP	7	pool_sub	African	African pooled	2	0.7295518611421132	0.24073879458213948	2.2108855326777017	0.2	5	logarithmic	1	FALSE	FALSE	0.24073879458213948	2.2108855326777017	0.73 (0.24 to 2.21)	""	0	0.9176805449533392
SGA	DBP	8	pool_all	Overall	Overall pooled	5	1.0158911886508577	0.7093808165980702	1.4548390413596366	0.2	5	logarithmic	1	FALSE	FALSE	0.7093808165980702	1.4548390413596366	1.02 (0.71 to 1.45)	I² = 0%; Q p = 0.737	0	0.736911246628307
SGA	SBP	1	cohort	AMANHI-Bangladesh	AMANHI-Sylhet	1	0.8407111960052397	0.4805394999211263	1.4708370804160136	0.2	5	logarithmic	1	FALSE	FALSE	0.4805394999211263	1.4708370804160136	0.84 (0.48 to 1.47)	""		
SGA	SBP	2	cohort	AMANHI-Pakistan	AMANHI-Karachi	1	0.7381095188050052	0.429178886152119	1.2694139421328716	0.2	5	logarithmic	1	FALSE	FALSE	0.429178886152119	1.2694139421328716	0.74 (0.43 to 1.27)	""		
SGA	SBP	3	cohort	GAPPS-Bangladesh	PreSSMat-Matlab	1	1.2278367372264731	0.8332182339236931	1.8093495700203523	0.2	5	logarithmic	1	FALSE	FALSE	0.8332182339236931	1.8093495700203523	1.23 (0.83 to 1.81)	""		
SGA	SBP	4	pool_sub	South Asian	South Asian pooled	3	0.9833835326467751	0.7471633313855488	1.2942861776789212	0.2	5	logarithmic	1	FALSE	FALSE	0.7471633313855488	1.2942861776789212	0.98 (0.75 to 1.29)	""	24.15336576350137	0.2675496647878858
SGA	SBP	5	cohort	AMANHI-Pemba	AMANHI-Pemba	1	0.8274587885304144	0.31056901834339884	2.204624435394118	0.2	5	logarithmic	1	FALSE	FALSE	0.31056901834339884	2.204624435394118	0.83 (0.31 to 2.20)	""		
SGA	SBP	6	cohort	GAPPS-Zambia	ZAPPS-Lusaka	1	0.47689971064257974	0.12639386497884497	1.7994016881202477	0.2	5	logarithmic	1	TRUE	FALSE	0.2	1.7994016881202477	0.48 (0.13 to 1.80)	""		
SGA	SBP	7	pool_sub	African	African pooled	2	0.681343931671174	0.30969555385897757	1.4989868192829279	0.2	5	logarithmic	1	FALSE	FALSE	0.30969555385897757	1.4989868192829279	0.68 (0.31 to 1.50)	""	0	0.5128233255809942
SGA	SBP	8	pool_all	Overall	Overall pooled	5	0.9450885316382114	0.7291343661398452	1.2250037498064652	0.2	5	logarithmic	1	FALSE	FALSE	0.7291343661398452	1.2250037498064652	0.95 (0.73 to 1.23)	I² = 0%; Q p = 0.433	0	0.4327440483007038
